NAV_Date,SBI_Bluechip,SBI_FocusedEq,Axis_Equity,CanaraRobeco_Bluechip,ICICI_FocusedEq,Franklin_Bluechip,Kotak_Bluechip,Kotak_Flexicap,UTI_Bond,AdityaBirla_Debt,HDFC_Debt,SBI_Debt,SBI_Arbitrage,Kotak_Bond,Kotak_EqArbitrage,HDFC_EqH,SBI_EqH,AdityaBirla_EqH,Franklin_EqH,Kotak_DebtHybrid
30-04-2015,0.9601,0.9678,0.9548,0.9503,0.964,0.9586,0.9582,0.9607,0.9958,1.0042,1.0011,0.9966,1.0069,0.9941,1.0049,0.975,0.9812,0.9677,0.967,0.9883
29-05-2015,1.0167,0.9902,1.0186,1.0086,1.0121,1.0328,1.0178,1.0195,1.0035,1.0062,1.0053,1.0072,1.006,1.0004,1.0057,1.0068,1.0031,1.0119,1.0232,1.0071
30-06-2015,1.0096,1.0014,0.9989,0.9932,0.9742,0.9879,0.9944,0.9976,0.9929,1.0034,0.9999,1.0024,1.0055,0.9888,1.0061,0.9792,0.9982,0.9955,0.9928,0.9925
31-07-2015,1.0235,1.0317,1.0156,1.0328,1.0074,1.023,1.0287,1.0381,1.0102,1.0112,1.0089,1.0092,1.0035,1.0121,1.0045,1.0467,1.0207,1.0247,1.0233,1.0122
31-08-2015,0.9455,0.9696,0.9783,0.9328,0.932,0.9442,0.9356,0.9391,1.0076,1.0069,1.0057,0.9935,1.0047,1.0073,1.0048,0.9159,0.9688,0.9593,0.9671,0.9971
30-09-2015,1.0169,1.0126,1.0148,1.024,1.0246,1.0193,1.0323,1.0275,1.019,1.0116,1.0108,1.0114,1.0028,1.0202,1.0038,1.0281,1.015,1.0189,1.018,1.0205
30-10-2015,1.0144,1.0367,1.0099,1.0023,1.019,1.0174,1.0091,1.0048,1.0032,1.0074,1.0053,1.0048,1.0043,1.0013,1.005,1.0141,1.0189,1.0121,1.0061,1.0032
30-11-2015,0.9995,0.9916,0.9783,0.9895,1.0077,0.9874,0.9949,0.9969,0.9923,1.0028,1.001,1.0003,1.0029,0.9891,1.0035,1.0451,1.0053,0.9974,0.9938,0.9968
31-12-2015,1.0072,1.0144,1.0139,0.9988,0.9846,0.9873,0.9942,0.9938,0.9999,1.0032,1.0028,0.9987,1.0052,0.9961,1.0057,0.9783,1.006,1.006,0.9925,1.0001
29-01-2016,0.9609,0.9304,0.9589,0.9478,0.9348,0.9568,0.9459,0.938,1.0014,1.004,1.0036,1.0085,1.0046,0.9954,1.0048,0.8729,0.9582,0.9618,0.9693,0.9862
29-02-2016,0.9241,0.9325,0.9167,0.9208,0.9302,0.9345,0.9247,0.9261,0.9985,1.0021,1.0016,1.0059,1.0029,1.003,1.004,0.8726,0.9433,0.9322,0.9501,0.9804
31-03-2016,1.0709,1.0745,1.0536,1.0825,1.0896,1.0803,1.076,1.0761,1.0116,1.0167,1.0161,1.0138,1.006,1.0302,1.0067,1.1076,1.0569,1.0602,1.0594,1.0349
29-04-2016,1.0244,1.0548,1.0202,1.0164,1.02,1.0253,1.0189,1.02,1.0059,1.0069,1.0063,1.0065,1.0035,1.0089,1.004,1.0244,1.0144,1.0244,1.0216,1.0102
31-05-2016,1.0355,1.0039,1.0395,1.0299,1.0422,1.0431,1.0407,1.0335,1.0031,1.0054,1.0048,1.0072,1.0042,1.0023,1.0044,1.0427,1.0183,1.0319,1.0231,1.0133
30-06-2016,1.0139,1.0137,1.0124,1.0151,1.0466,1.0228,1.0193,1.0468,1.0099,1.0093,1.0087,1.0136,1.0054,1.0111,1.0049,1.0426,1.022,1.0273,1.0236,1.0151
29-07-2016,1.0473,1.0492,1.0582,1.0511,1.057,1.03,1.0379,1.0452,1.0281,1.0124,1.0175,1.0056,1.0039,1.0301,1.005,1.04,1.0326,1.0452,1.027,1.0294
31-08-2016,1.0106,1.035,1.001,1.0302,1.012,1.0196,1.0157,1.0304,1.0107,1.0103,1.0089,1.0113,1.0066,1.0128,1.006,1.0232,1.0105,1.0182,1.0242,1.0169
30-09-2016,0.9996,0.9978,0.9904,0.9906,0.9921,0.9854,0.9918,0.996,1.0144,1.0084,1.0121,1.0102,1.0046,1.0128,1.0054,0.996,1.0013,0.9997,0.9923,1.0108
28-10-2016,0.9897,1.0049,0.9993,0.9907,0.989,0.9973,0.9829,0.9972,0.9999,1.0053,1.0055,1.0054,1.0057,1.0009,1.0049,1,1.0161,0.9981,0.9942,1.0107
30-11-2016,0.94,0.9364,0.9264,0.9247,0.9674,0.9629,0.9501,0.947,1.0533,1.0179,1.0205,1.0247,1.0046,1.0424,1.0051,0.9612,0.9628,0.9613,0.9794,0.9994
30-12-2016,0.9834,0.9566,0.9754,0.9835,0.9922,0.991,0.9911,0.9901,0.9795,0.9943,0.9926,0.9998,1.0045,0.9707,1.004,0.9803,0.9714,0.9869,0.9824,0.9882
31-01-2017,1.0434,1.038,1.0447,1.0588,1.0298,1.0477,1.0448,1.0584,1.0043,1.0057,1.0048,1.0095,1.0031,0.9985,1.0039,1.0618,1.0354,1.04,1.0292,1.0126
28-02-2017,1.0175,1.0296,1.0153,1.0143,1.0182,1.0243,1.023,1.02,0.9855,0.9926,0.9955,1.0007,1.0047,0.9683,1.0051,0.9943,1.0117,1.0131,1.0114,0.9844
31-03-2017,1.0327,1.0324,1.045,1.0323,1.0185,1.0177,1.0248,1.032,1.0162,1.0095,1.009,1.0107,1.0054,1.0177,1.0056,1.0443,1.0204,1.0341,1.0137,1.0213
28-04-2017,1.0214,1.0103,1.0226,1.0286,1.0049,1.0186,1.021,1.0383,1.0007,1.006,1.0022,1.0043,1.0026,0.9972,1.0031,1.0314,1.0098,1.016,1.0134,1.0085
31-05-2017,1.0168,1.0053,1.0117,1.0156,1.0192,1.0207,1.0214,1.015,1.0116,1.0117,1.0081,1.0096,1.0052,1.0179,1.005,1.0194,1.0151,1.0049,1.0171,1.0114
30-06-2017,0.9947,1.0314,1.0109,0.989,0.9859,0.9887,0.9941,0.9879,1.0138,1.0109,1.0068,1.0116,1.0046,1.015,1.0052,0.9709,1.0147,1.0064,1,1.0104
31-07-2017,1.0408,1.0383,1.051,1.0457,1.0419,1.0522,1.0346,1.0433,1.0123,1.0097,1.0087,1.0084,1.0044,1.0093,1.005,1.0543,1.0431,1.0346,1.032,1.0101
31-08-2017,0.9918,0.9992,0.9904,0.9909,0.9775,0.9757,0.9807,0.9961,1.0026,1.0053,1.0041,1.0057,1.0041,0.9989,1.0051,0.9722,0.9918,1.0005,0.991,0.9988
29-09-2017,0.9755,0.9991,1.0042,0.9826,0.9829,0.9832,0.9816,0.9789,0.9964,1.001,1.0011,1.001,1.0043,0.9917,1.0055,0.9723,0.9955,0.9902,0.9896,0.996
31-10-2017,1.0385,1.0304,1.0264,1.0307,1.0633,1.0499,1.0417,1.042,0.9994,1.0042,1.0064,1.0031,1.0029,0.9984,1.0032,1.0769,1.0476,1.0274,1.0303,1.0171
30-11-2017,0.9991,1.0666,1.0031,0.9892,0.9976,0.9808,0.9902,0.9874,0.9969,1.002,1.0011,1.0016,1.0052,0.9948,1.0048,1.0029,1.0052,0.9982,0.999,0.9998
29-12-2017,1.0363,1.0427,1.0434,1.0384,1.045,1.0379,1.0423,1.0351,0.9898,0.9994,0.9983,0.999,1.0025,0.9914,1.003,1.0428,1.0244,1.028,1.0291,1.0049
31-01-2018,1.0158,0.9922,1.0183,1.0355,1.0077,1.0349,1.0334,1.02,0.9972,1.0033,1.0023,1.0022,1.0065,0.9969,1.0058,1.012,1.009,0.9997,1.0097,0.9973
28-02-2018,0.9631,0.9691,0.9709,0.9654,0.9633,0.9464,0.9514,0.958,0.9993,1.0029,1.0018,1.0027,1.0047,0.9966,1.0042,0.9474,0.9735,0.971,0.9701,0.9906
28-03-2018,0.9862,0.9816,0.9852,0.9787,0.9695,0.9637,0.9749,0.9772,1.0258,1.013,1.0132,1.0127,1.0043,1.0223,1.0045,0.9485,0.9847,0.9897,0.9866,1.0095
30-04-2018,1.0445,1.0497,1.0594,1.0455,1.0402,1.0438,1.0419,1.0371,0.991,0.997,0.9951,0.9951,1.0039,0.9887,1.0038,1.0198,1.0344,1.0316,1.0259,0.992
31-05-2018,0.9846,0.9896,1.0062,1.003,1.0007,0.9986,1.0006,0.9989,0.9981,1.0009,1.0004,0.9994,1.0039,1.0004,1.0044,0.972,0.9959,0.9893,1.0091,0.9935
29-06-2018,0.9806,0.962,0.989,1,1.0128,0.9961,0.989,0.9985,1.0005,1.0067,1.0054,1.0047,1.004,1.0027,1.0042,0.9826,0.9862,0.9853,0.9858,0.9948
31-07-2018,1.0527,1.0462,1.0542,1.0689,1.0487,1.0413,1.072,1.0668,1.0068,1.0084,1.007,1.0108,1.003,1.007,1.0046,1.0388,1.0381,1.0371,1.0264,1.024
31-08-2018,1.022,1.0341,1.0256,1.0227,1.0499,1.0463,1.0234,1.0252,1.0011,1.0026,1.0033,1.0009,1.0028,1.0008,1.0034,1.0241,1.019,1.0241,1.0318,1.0093
28-09-2018,0.918,0.9112,0.9078,0.9369,0.9685,0.9319,0.9288,0.9251,0.9996,0.9926,0.9991,0.9991,1.006,0.9993,1.0069,0.9438,0.9483,0.9268,0.952,0.9657
31-10-2018,0.9652,0.9818,0.9639,0.9569,0.951,0.9518,0.9474,0.9622,1.0026,1.0044,1.0038,1.0056,1.0081,1.0069,1.0083,0.9834,0.9804,0.9799,0.9711,0.9962
30-11-2018,1.0398,1.0263,1.0553,1.0396,0.9727,1.0278,1.0455,1.0397,1.0055,1.0083,1.0109,1.0107,1.0052,1.0139,1.0053,1.0251,1.0307,1.0202,1.0187,1.0159
31-12-2018,1.0064,1.027,1.0087,1.0043,1.0179,1.0079,1.009,1.0073,1.0103,1.0087,1.0078,1.0102,1.0032,1.0124,1.0039,1.0079,1.017,1.0086,1.0125,1.0092
31-01-2019,0.9725,0.9634,0.9446,0.9962,0.9766,0.9852,0.9833,0.9833,0.9791,0.9932,1.0063,1.0057,1.0052,1.0008,1.0058,0.9906,0.9796,0.9799,0.9943,1.0005
28-02-2019,0.9927,1.0112,1.0104,0.9822,1.0042,0.9965,0.9969,0.9916,1.0054,0.9993,1.0041,1.0068,1.0025,1.0061,1.003,0.9902,1.0012,0.9942,0.9911,1.0004
29-03-2019,1.0738,1.0792,1.0522,1.0645,1.0632,1.0595,1.0657,1.0771,1.0139,1.0127,1.0142,1.0157,1.0046,1.0232,1.0053,1.0672,1.0606,1.0506,1.0565,1.0313
30-04-2019,1.0023,1.0024,1.0103,1.0028,1.0033,0.9926,1.0043,1.0023,0.9683,0.9975,0.998,0.9962,1.0072,0.9961,1.0075,0.9871,0.9973,0.9888,0.9977,0.9977
31-05-2019,1.0375,1.0328,1.0375,1.0303,1.0029,1.0117,1.0219,1.0358,1.0173,1.0039,1.0151,1.0172,1.0088,1.0195,1.0076,1.0267,1.0295,1.0184,1.015,1.0159
28-06-2019,0.9841,0.9817,0.9827,0.9899,0.9813,0.9772,0.9787,0.9762,0.946,1.0031,1.0028,1.0037,1.0038,1.0086,1.0034,0.9906,0.9871,0.9883,0.9945,1.0015
31-07-2019,0.9402,0.9557,0.9492,0.9473,0.9534,0.9323,0.9407,0.9373,1.0258,1.0144,1.0143,1.0177,1.0067,1.0252,1.0065,0.9552,0.974,0.9548,0.9522,0.9991
30-08-2019,1.0012,0.9815,1.0172,1.0079,0.9902,0.99,1.0143,1.0069,0.9975,1.0023,1.0046,1.0073,1.0062,1.0032,1.0055,0.996,1.0006,0.997,1.0012,1.0041
30-09-2019,1.0739,1.0873,1.0783,1.0771,1.0377,1.0678,1.0713,1.0697,0.9847,1.0085,1,1.0018,1.0018,0.9943,1.0025,1.0449,1.0572,1.0459,1.0535,1.0211
31-10-2019,1.0427,1.0412,1.0557,1.0424,1.0333,1.0508,1.0493,1.041,0.9947,0.9758,1.0097,1.0097,1.006,1.0047,1.0065,1.0208,1.0264,1.0305,1.0277,1.0212
29-11-2019,1.0014,1.0174,0.9884,1.0125,0.9959,1.0293,1.0174,1.0163,1.0055,0.941,1.0093,1.0096,1.0034,1.0054,1.0036,1.0115,1.0177,1.0037,1.0067,1.0091
31-12-2019,1.0081,1.0061,1.0215,1.0127,0.9921,0.9922,1.011,1.0026,1.0012,1.0027,1.0012,1.0057,1.0023,1.0039,1.003,1.0057,1.0062,1.0093,1.0059,1.0054
31-01-2020,1.0017,1.0297,1.0196,1.011,1.0027,0.9957,0.998,1.0113,0.9544,1.0031,1.0082,1.0077,1.005,1.0004,1.0048,0.9967,1.0111,0.9895,0.9998,1.0017
28-02-2020,0.9568,0.9888,0.9791,0.986,0.9506,0.9581,0.9609,0.9592,0.9738,1.005,1.0127,1.0124,1.0063,1.0184,1.0059,0.9748,0.9862,0.956,0.9676,1.0017
31-03-2020,0.7717,0.7801,0.79,0.8073,0.8431,0.779,0.7778,0.7649,1.0033,0.996,0.9999,1.0028,1.0041,1.0059,1.0052,0.8087,0.828,0.8017,0.8218,0.9341
30-04-2020,1.1832,1.1134,1.1474,1.1669,1.1814,1.1754,1.1719,1.1663,1.018,0.9443,0.9868,1.0001,1.0034,1.0089,1.0048,1.133,1.1043,1.1384,1.1099,1.0534
29-05-2020,1.038,1.0109,1.0146,1.0229,1.0634,1.0505,1.0305,1.0365,1.0204,1.0184,1.0109,1.0191,1.0058,1.0208,1.0089,1.0137,1.0155,1.0079,1.0286,1.0193
30-06-2020,1.0442,1.0489,1.0307,1.041,1.0388,1.0523,1.0563,1.0574,1.0146,1.0165,1.017,1.0153,1.0013,1.0126,1.0027,1.0463,1.0414,1.0452,1.0323,1.0213
31-07-2020,1.0545,1.0263,1.0283,1.0537,1.0686,1.015,1.0648,1.0488,1.0091,1.013,1.0129,1.0096,1.0009,1.01,1.0009,1.0367,1.0391,1.0454,1.0405,1.0204
31-08-2020,1.0462,1.0637,1.0514,1.0382,1.0293,1.0546,1.0378,1.0315,0.9874,0.999,0.9991,0.9978,1.0022,0.9844,1.0029,1.0489,1.0277,1.0384,1.0446,1.0097
30-09-2020,0.9746,0.951,0.9859,0.9873,0.9657,0.943,0.9983,0.9962,0.9963,1.0178,1.0047,1.0043,1.0041,0.9974,1.0044,0.9736,0.9698,1.0022,0.9725,0.9985
30-10-2020,1.0191,1.0193,1.0265,1.0196,0.9987,1.0388,1.0158,1.0113,1.0114,0.9815,1.0167,1.018,1.0036,1.0152,1.0046,1.0142,1.0121,1.0161,1.0273,1.011
27-11-2020,1.131,1.1264,1.1381,1.0981,1.0953,1.1144,1.1023,1.1136,1.0036,1.0325,1.0092,1.0076,1.0006,1.0083,1.0014,1.0959,1.0984,1.0977,1.0985,1.0394
31-12-2020,1.0604,1.0456,1.0682,1.0678,1.0656,1.0554,1.0616,1.0466,1.0032,1.0056,1.0045,1.0054,1.0031,1.0106,1.0034,1.0491,1.0458,1.048,1.036,1.022
29-01-2021,0.9753,0.9692,0.9383,0.9767,0.9923,1.0101,0.9824,0.9883,0.9986,1.0063,1.001,0.9991,1.0015,1.002,1.0023,0.993,0.979,0.9826,1.0023,1.0021
26-02-2021,1.0394,1.0622,1.0389,1.0158,1.0427,1.0544,1.0255,1.0299,0.9951,1.0125,0.997,0.9962,1.0031,0.9836,1.0039,1.0389,1.0334,1.0282,1.0354,1.0064
31-03-2021,0.9842,1.0047,0.995,1.0011,0.994,0.9795,1.0021,0.9938,1.0044,1.0079,1.008,1.0057,1.0045,1.0059,1.0048,0.9846,0.9967,1.0019,0.9931,1.0032
30-04-2021,0.9775,1.0165,0.9977,0.9865,0.9868,0.9922,0.9845,0.985,1.0045,1.0058,1.0055,1.0057,1.0046,1.0033,1.0048,0.9922,1.0008,0.9992,0.9968,1.0099
31-05-2021,1.0614,1.052,1.0464,1.0558,1.071,1.0793,1.0654,1.061,1.0021,1.0077,1.0079,1.0051,1.0043,1.0061,1.0044,1.0679,1.0429,1.0446,1.0507,1.0244
30-06-2021,1.0143,1.0426,1.0347,1.0254,1.0227,1.0075,1.03,1.0249,1.0008,1.0011,1.0022,1.0029,1.0046,1.0031,1.0047,1.0194,1.0186,1.0279,1.026,1.0069
30-07-2021,1.0241,1.0299,1.0143,1.015,1.0367,1.0171,1.0149,1.0253,1.0023,1.0065,1.0061,1.0055,1.0034,1.0015,1.0035,1.0191,1.0229,1.0258,1.0125,1.0134
31-08-2021,1.0488,1.067,1.0825,1.0639,1.0496,1.0354,1.06,1.0375,1.0053,1.0059,1.0076,1.0062,1.0038,1.0123,1.0038,1.0256,1.0442,1.0403,1.0364,1.0115
30-09-2021,1.0336,1.0274,1.0183,1.0148,1.0343,1.0263,1.0256,1.0173,1.075,1.0052,1.0048,1.0039,1.0014,1.0072,1.0017,1.0217,1.0256,1.017,1.0171,1.0248
29-10-2021,1.0091,1.0333,1.0029,1.0132,1.0193,1.0197,1.0085,1.009,1.0042,1.0012,1,1.0009,1.0062,0.9969,1.0035,1.0183,1.0035,1.0078,1.0065,1.0059
30-11-2021,0.9514,1.0111,0.9674,0.9505,0.9489,0.9481,0.9526,0.9453,1.0025,1.0049,1.0054,1.005,1.0045,1.0094,1.0052,0.9645,0.9739,0.9629,0.9621,0.9942
31-12-2021,1.0127,0.9925,0.9992,1.0131,1.0127,1.0122,1.0114,1.022,0.9984,1.0015,1.0012,1.0009,1.0021,0.9972,1.0021,1.0096,1.0112,1.0068,1.0047,1.002
31-01-2022,0.9775,0.9314,0.932,0.9815,0.9946,0.977,0.9802,0.9925,0.9993,1.0018,1.0006,1.0015,1.0036,0.9975,1.0038,1.0047,0.9829,0.9806,0.9977,1.0027
28-02-2022,0.9523,0.965,0.9557,0.9521,0.9363,0.9389,0.9419,0.9356,1.0019,1.0442,1.007,1.0061,1.005,1.0088,1.0047,0.9631,0.9777,1.0007,0.9536,0.9857
31-03-2022,1.0454,1.0181,1.0221,1.0343,1.0534,1.0347,1.0486,1.0485,1.0027,1.0043,1.004,1.0042,1.0008,1.0032,1.0011,1.0333,1.0338,1.0289,1.0289,1.0195
29-04-2022,0.9777,0.9614,0.9717,0.9677,0.9706,0.9739,0.9699,0.9783,0.9942,0.9998,0.9947,0.9972,1.004,0.991,1.004,0.982,0.9841,0.9717,0.9836,0.9913
31-05-2022,0.9772,0.9597,0.9323,0.9778,0.9903,0.9925,0.9801,0.9705,1.0715,0.9957,0.9907,0.992,1.0028,0.9915,1.0032,0.9758,0.9717,0.951,0.9815,0.9834
30-06-2022,0.9612,0.9604,0.9345,0.958,0.9637,0.9571,0.9566,0.9519,1.0011,1.0026,1.0013,1.0046,1.0037,0.9993,1.0036,0.9691,0.9624,0.9671,0.9654,0.9923
29-07-2022,1.0829,1.0811,1.1208,1.0839,1.0892,1.0717,1.0809,1.0949,1.0074,1.1619,1.0092,1.007,1.0009,1.0099,1.0008,1.0678,1.07,1.0649,1.0618,1.0283
30-08-2022,1.0268,1.0224,1.0334,1.0257,1.0221,1.0207,1.0293,1.0311,1.0099,1.0062,1.0067,1.0066,1.0044,1.0091,1.0044,1.0289,1.017,1.017,1.029,1.0165
30-09-2022,0.9741,1.0026,0.9616,0.9801,0.981,0.9719,0.9744,0.9709,0.9966,1.0007,0.998,0.9986,1.0045,0.9992,1.0042,0.9832,0.9951,0.9791,0.9945,0.9983
31-10-2022,1.062,1.0283,1.0199,1.0623,1.0681,1.0418,1.0585,1.0673,1.0052,1.0052,1.0044,1.0046,1.0023,1.0043,1.0021,1.0494,1.0276,1.0358,1.0423,1.0173
30-11-2022,1.0227,0.9905,0.9931,1.0181,1.0255,1.0334,1.0237,1.0151,1.01,1.009,1.0084,1.0094,1.0046,1.0088,1.0044,1.0277,1.0076,1.0062,1.0226,1.0103
30-12-2022,0.9674,0.9683,0.9646,0.9653,0.9656,0.9588,0.9668,0.9752,0.9997,1.003,1.0029,1.0024,1.0075,1.0005,1.0073,0.9835,0.9786,0.9695,0.973,0.9939
